date,company,title,content,source
2021-12-31,LG전자,"2021 지속가능경영보고서 발간","온실가스 감축·재생에너지 확대 등 ESG 성과 요약","지속가능보고서"
2022-12-31,LG전자,"2022 ESG Factbook","Scope1,2 온실가스 배출량 54.6% 감축 목표, 재생에너지 전환 확대","지속가능보고서"
2023-12-31,LG전자,"2023 ESG 보고","RBA 공급망 인권 관리, 다양성·포용성 확대, 재활용 플라스틱 누적 18.8만 톤 사용","지속가능보고서"
2024-12-31,LG전자,"2024 ESG 보고","탄소중립 추진, 수용성 유리 파우더 활용한 해양 복원 솔루션 개발","지속가능보고서"
2025-06-30,LG전자,"2025 상반기 ESG 활동","재생에너지 100% 전환 목표 추진, AI 기반 고효율 HVAC 솔루션 확대","지속가능보고서"
2021,삼성전자,지속가능경영보고서,"2050 탄소중립 선언, 재생에너지 전환 가속, 공급망 ESG 관리 강화", "공시"
2022,삼성전자,지속가능경영보고서,"新환경경영전략 발표, 2030 DX부문 탄소중립 목표, Scope3 배출 관리 강화, 협력사 ESG 교육 확대","공시"
2023,삼성전자,지속가능경영보고서,"DX부문 2030 탄소중립 추진, DS부문 2050 탄소중립 추진, 수자원 재이용 1.1억톤, 재생레진 사용량 9.9만톤","공시"
2024,삼성전자,지속가능경영보고서,"DX부문 재생에너지 전환 93.4%, DS부문 온실가스 처리시설 확대, 공급망 근로환경 관리 확대, 장애인 고용 확대","공시"
2025,삼성전자,지속가능경영보고서,"지속가능경영위원회 중심 ESG 관리 강화, 글로벌 기후규제 대응, 탄소국경세·배터리 규제 대응, 新환경전략 성과 보고","공시"
2020,NAVER,ESG Report,"첫 ESG 보고서 발간, 데이터센터 친환경 운영 강화, 개인정보보호 및 투명경영 강조",공시
2021,NAVER,TCFD·SASB Report,"글로벌 공시 기준(TCFD, SASB) 첫 적용, 기후리스크 시나리오 분석, ESG 위원회 정례화",공시
2022,NAVER,Green Commerce Report,"그린 커머스 전략 도입, 친환경 유통망 구축, 산불피해 복구 기부 및 녹색소비주간 캠페인",공시
2023,NAVER,Integrated/TCFD Report,"2040 Carbon Negative 전략, 재생에너지 PPA(수력발전) 도입, RE100/EV100 가입, 데이터센터 친환경화, ESG 위원회 활동 강화",공시
2024,NAVER,Integrated Report,"통합보고서 발간, 글로벌 ESG 규제 대응, 플랫폼 기반 친환경 서비스 확대, 공급망 ESG 관리 고도화",공시
2022,현대자동차,지속가능성보고서,"2045 탄소중립 목표 선언, RE100 가입, 전기차 판매 14만대(+44%), 폐배터리 재활용 체계 구축, 인권경영 강화, 공급망 ESG 관리 확대, 이사회 산하 지속가능경영위원회 출범","공시"
2023,현대자동차,지속가능성보고서,"전기차 판매 26.9만대(+28%), 인도네시아 공장 RE100 달성, 글로벌 재생에너지 사용량 69% 상승, LCA 25개 차종 확대, 용수 재활용 263만톤(+15.2%), 인권헌장 개정 및 인권실사 확대, 협력사 ESG 리스크 스크리닝, 이사회 다양성 제고","공시"
2024,현대자동차,지속가능성보고서,"글로벌 판매 421만대(+6.2%), 전기차 판매 27만대(+28%), 체코·인니 공장 RE100 달성, 글로벌 재생에너지 전환 확대, ESG위원회 운영 강화, 공급망 ESG 평가 해외 확대, 이사회 역량 구성표(Board Skill Matrix) 공시, CDP 기후변화 ‘리더십 A’ 획득","공시"
2025,현대자동차,지속가능성보고서,"지속가능경영위원회 중심 ESG 관리 강화, 글로벌 기후규제 대응(탄소국경세 등), 전동화 투자 35.8조 포함 10년간 109.4조 투자 발표, 수소·자율주행·로보틱스 등 미래사업 전략, ESG Non-Deal Roadshow 정례화, 수소위원회·코리아 H2 비즈니스 써밋 적극 참여","공시"
2021,한화솔루션,지속가능경영보고서,2050 탄소중립 선언·K-RE100 참여·폐플라스틱 화학적 재활용 기술 추진·친환경 가소제 Eco-DEHCH 개발,공시
2022,한화솔루션,지속가능경영보고서,재생에너지 확대·녹색채권 발행·폐어망 재활용 친환경 소재 개발·이사회 내 ESG위원회 신설,공시
2023,한화솔루션,지속가능경영보고서,태양광 모듈 글로벌 1위 유지·폐플라스틱 리사이클링 확대·수소저장탱크 기술 상용화 추진·안전보건경영 강화,공시
2024,한화솔루션,지속가능경영보고서,수소 및 재생에너지 사업 확대·EU/미국 중심 친환경 에너지 수출 강화·ESG 리스크 관리 고도화,공시
2025,한화솔루션,지속가능경영보고서,탄소중립 중간 성과 보고·탄소국경세 대응 전략·재생에너지 100% 전환 로드맵·협력사 ESG 평가 강화,공시
2021,SK하이닉스,지속가능경영보고서,"국내 최초 RE100 가입, 2050 넷제로 선언, ESG경영위원회 신설, 탄소관리위원회 신설",공시
2022,SK하이닉스,지속가능경영보고서,"ECO 비전 발표, 2030년까지 공정가스 배출 40% 감축 목표, 전 사업장 ZWTL 인증 추진, ECO Alliance 출범",공시
2022,SK하이닉스,TCFD Report,"기후변화 리스크·시나리오 분석 최초 공개, 재무적 영향 산정, 2030까지 글로벌 재생에너지 33% 조달 계획",공시
2023,SK하이닉스,지속가능경영보고서,"RE100 이행 가속화, 글로벌 사업장 재생에너지 100% 확대, 용인 클러스터 신규 팹 기후대응 계획 반영",공시
2024,SK하이닉스,지속가능경영보고서,"PRISM ESG 프레임워크 실행, 2030 에너지 누적 절감 3000GWh 목표, 공급망 ECO Alliance 확장",공시
2025,SK하이닉스,지속가능경영보고서,"넷제로 중간 성과 보고, 글로벌 기후규제 대응 강화, EU 탄소국경세 대응 전략, 반도체 친환경 기술 개발 투자",공시
